warID,warName,warDescription,startDate,endDate,prevWarID,nextWarID
Q2337340,Cenepa piun piun,,1995-01-26,1995-02-28,,
Q3119132,Indo-Pakistani wars and conflicts,wars between India and Pakistan,1947-10-22,,,
Q580961,Agacher Strip War,,1985-12-14,1985-12-30,,
Q1209169,War in Abkhazia,War in Abkhazia from 1992 to 1993,1992-08-14,1993-09-27,,
Q321780,Georgian–Abkhazian conflict,Georgian–Abkhazian conflict,1989-01-01,1993-01-01,,
Q17507684,Military intervention against ISIL,military actions against Islamic State of Iraq and the Levant,2014-06-13,,,
Q620735,Russo-Georgian War,2008 war between Russia and Georgia in South Ossetia,2008-08-07,2008-08-12,,
Q748780,First Indochina War,war in French Indochina from 1946 to 1954,1946-12-19,1954-08-01,,
Q832273,Eritrean–Ethiopian War,war between Ethiopia and Eritrea at the end of the 20th century,1998-05-06,2000-05-25,,
Q242352,Yugoslav Wars,ethnic conflicts fought from 1991 to 2001 on the territory of former Yugoslavia,1991-03-31,2001-11-12,,
Q609836,Portuguese Colonial War,1961–1974 armed conflicts in Africa between Portugal and independence movements,1961-01-01,1974-01-01,,
Q1064335,Pig War,confrontation in 1859 between the United States and the British Empire,1961-04-19,1961-04-19,,
Q1072042,War in Somalia (2006-2009),"armed conflict involving largely Ethiopian and Somali Transitional Federal Government (TFG) forces and Somali troops from Puntland vs the Somali Islamist umbrella group, the Islamic Court Union (ICU) and other affiliated militias",2006-12-20,2009-01-30,,Q1052332
Q327237,Kivu conflict,conflict in the Democratic Republic of the Congo,2004-01-01,,,
Q632787,Insurgency in the Maghreb (2002–),Islamist militant and terrorist activity in the Maghreb and Sahel regions,2002-04-11,,,
Q6022577,Indian intervention in the Sri Lankan Civil War,,1987-07-29,1990-03-24,,
Q443226,Contra insurgency,,1981-01-01,1990-01-01,,
Q318250,Ethio-Somali War,1977-78 Somali military offensive over the disputed Ogaden region of Ethiopia,1977-07-13,1978-03-15,,
Q2904516,War over Water,1964-1967 military confrontations between Israel and Syria and Lebanon,1964-11-01,1967-05-01,,
Q1413732,Kashmir conflict,"conflict over the Kashmir region between India, Pakistan and China",1947-10-22,,,
Q3196886,2009 Eastern Congo offensive,,2009-01-20,2009-02-27,,
Q1760930,Paquisha War,1981 war between Ecuador and Peru,1981-01-28,1981-02-05,,
Q1936011,Cold War (1962–79),Phase of The Cold War,1962-01-01,1979-01-01,,
Q1361929,Indonesia–Malaysia confrontation,military conflict (1963–1966),1963-01-20,1966-08-11,,
Q322607,War of Attrition,1967-1970 war between Israel and Egypt,1967-07-01,1970-08-07,,
Q371394,Bangladesh Liberation War,conflict that led to the independence of the majority-Bengali country,1971-03-26,1971-12-16,,
Q1271059,Shifta War,,1963-01-01,1967-01-01,,
Q1640107,Ifni War,,1957-10-23,1958-06-30,,
Q190029,Kosovo War,late 1990s armed conflict in Kosovo,1998-02-27,1999-06-11,,
Q285280,War of Pridnestrovie,early 1990's armed conflict,1992-03-02,1992-07-21,,
Q644589,Toyota War,last phase of the Chadian–Libyan conflict. It takes its name from the Toyota pickup trucks used,1986-12-16,1987-09-11,,
Q1519107,War in Afghanistan,Ongoing conflicts in Afghanistan since 1978,1978-04-27,,,
Q838695,First Congo War,war,1996-10-24,1997-05-16,,
Q381375,Nagorno-Karabakh War,armed conflict that took place in the late 1980s to May 1994,1988-02-20,1994-05-12,,
Q959303,War in Abkhazia (1998),ethnic armed conflict in the western Georgian region of Abkhazia,1998-05-20,1998-05-26,,
Q643925,Invasion of Dagestan,Part of Russian-Chechen conflict,1999-08-02,1999-09-14,,
Q4116897,Second Kurdish–Iraqi War,1974–1975 Kurdish rebellion in northern Iraq,1974-01-01,1975-01-01,,
Q21647838,German intervention against ISIL,,2015-12-01,,,
Q233583,Indo-Pakistani War of 1965.,Culmination of skirmishes between India and Pakistan in 1965.,1965-08-01,1965-09-23,,
Q3429692,55 Day War,,1993-01-09,1993-03-06,,
Q652285,Indo-Pakistani War of 1947,1947-1948 war between India and Pakistan,1947-10-22,1949-01-01,,
Q1262084,Djiboutian Civil War,war,1991-10-01,1994-12-01,,
Q404517,Kargil War,war,1999-05-01,1999-07-01,,
Q1069736,Croat–Bosniak War,war,1992-06-19,1994-02-23,,
Q619749,Kurdish–Turkish conflict,armed conflict between the Republic of Turkey and various Kurdish insurgent groups,2015-07-24,,,
Q635533,Cambodian–Vietnamese War,1977-1991 interstate war,1977-04-30,1991-10-23,,
Q545449,Iraq War,war which started on 20 March 2003,2003-03-20,2011-12-15,,
Q190758,Darfur conflict,major armed conflict in the Darfur region of Sudan that began in February 2003,2003-02-26,,,
Q611071,Chadian–Libyan conflict,,1978-01-01,1987-01-01,,
Q3151731,Dirty War,Mexico,1954-01-01,2000-01-01,,
Q623171,Sino-Vietnamese War,war between the People's Republic of China and Socialist Republic of Vietnam in 1979,1979-02-17,1979-03-16,,
Q553184,Gaza–Israel conflict,conflict between Gaza and Israel,2006-06-01,,,
