participant,participantLabel,participantDescription,countryCode,inception,dissolved,government,governmentLabel,participantID,govtID
http://www.wikidata.org/entity/Q217,Moldova,sovereign state in Eastern Europe,MDA,1991-08-27T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q217,Q4198907
http://www.wikidata.org/entity/Q212,Ukraine,sovereign state in Eastern Europe,UKR,1991-08-24T00:00:00Z,,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q212,Q49890
http://www.wikidata.org/entity/Q215,Slovenia,sovereign state in Central Europe,SVN,1991-06-25T00:00:00Z,,http://www.wikidata.org/entity/Q5255892,plutocratic oligarchy,Q215,Q5255892
http://www.wikidata.org/entity/Q230,Georgia,Country in the Caucasus,GEO,1991-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q230,Q49890
http://www.wikidata.org/entity/Q232,Kazakhstan,sovereign state in Eastern Europe and Central Asia,KAZ,1991-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q232,Q49892
http://www.wikidata.org/entity/Q399,Armenia,sovereign state in the South Caucasus region of Eurasia,ARM,1991-09-23T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q399,Q7270
http://www.wikidata.org/entity/Q252,Indonesia,"sovereign state in Southeast Asia situated on more than 17,000 islands",IDN,1945-08-17T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q252,Q7270
http://www.wikidata.org/entity/Q212,Ukraine,sovereign state in Eastern Europe,UKR,1991-08-24T00:00:00Z,,http://www.wikidata.org/entity/Q188759,representative democracy,Q212,Q188759
http://www.wikidata.org/entity/Q212,Ukraine,sovereign state in Eastern Europe,UKR,1991-08-24T00:00:00Z,,http://www.wikidata.org/entity/Q16711032,Q16711032,Q212,Q16711032
http://www.wikidata.org/entity/Q212,Ukraine,sovereign state in Eastern Europe,UKR,1991-08-24T00:00:00Z,,http://www.wikidata.org/entity/Q179164,unitary state,Q212,Q179164
http://www.wikidata.org/entity/Q265,Uzbekistan,sovereign state in Central Asia,UZB,1991-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q265,Q49892
