event,eventLabel,eventDescription,startDate,endDate,location,casualties,prevWar,nextWar,largerConflict,largerConflictLabel,largerConflictDescription,warID,locationID,prevWarID,nextWarID,largerConflictID
http://www.wikidata.org/entity/Q37643,Gulf War,1990–1991 war between Iraq and Coalition Forces,1990-08-02T00:00:00Z,1991-02-28T00:00:00Z,http://www.wikidata.org/entity/Q817,,,,,,,Q37643,Q817,,,
http://www.wikidata.org/entity/Q37643,Gulf War,1990–1991 war between Iraq and Coalition Forces,1990-08-02T00:00:00Z,1991-02-28T00:00:00Z,http://www.wikidata.org/entity/Q851,,,,,,,Q37643,Q851,,,
http://www.wikidata.org/entity/Q37643,Gulf War,1990–1991 war between Iraq and Coalition Forces,1990-08-02T00:00:00Z,1991-02-28T00:00:00Z,http://www.wikidata.org/entity/Q31945,,,,,,,Q37643,Q31945,,,
http://www.wikidata.org/entity/Q151622,Israeli–Palestinian conflict,military and political struggle between Israel and the Palestinians,1950-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q801,14500,http://www.wikidata.org/entity/Q2992527,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q151622,Q801,Q2992527,,Q8669
http://www.wikidata.org/entity/Q8740,Vietnam War,"1964–1975 armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam",1965-11-01T00:00:00Z,1975-04-30T00:00:00Z,http://www.wikidata.org/entity/Q180573,1291425,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q8740,Q180573,,,Q8683
http://www.wikidata.org/entity/Q82664,Iran–Iraq War,war between Iran and Iraq from September 1980 to August 1988,1980-09-22T00:00:00Z,1988-08-20T00:00:00Z,http://www.wikidata.org/entity/Q794,,,,http://www.wikidata.org/entity/Q13408125,Gulf War,Wikimedia disambiguation page,Q82664,Q794,,,Q13408125
http://www.wikidata.org/entity/Q82664,Iran–Iraq War,war between Iran and Iraq from September 1980 to August 1988,1980-09-22T00:00:00Z,1988-08-20T00:00:00Z,http://www.wikidata.org/entity/Q796,,,,http://www.wikidata.org/entity/Q13408125,Gulf War,Wikimedia disambiguation page,Q82664,Q796,,,Q13408125
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q36755,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49100,Q36755,,,Q8669
http://www.wikidata.org/entity/Q182865,War in Afghanistan,war in Afghanistan since 2001,2001-10-07T00:00:00Z,2014-12-28T00:00:00Z,http://www.wikidata.org/entity/Q889,,http://www.wikidata.org/entity/Q12302518,http://www.wikidata.org/entity/Q18920712,http://www.wikidata.org/entity/Q1519107,War in Afghanistan,Ongoing conflicts in Afghanistan since 1978,Q182865,Q889,Q12302518,Q18920712,Q1519107
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q899,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q49100,Q899,,,Q8683
