event,eventLabel,participant,participantLabel,warID,participantID
http://www.wikidata.org/entity/Q3196886,2009 Eastern Congo offensive,,,Q3196886,
http://www.wikidata.org/entity/Q2992536,Basque conflict,http://www.wikidata.org/entity/Q13474305,Francoist Spain,Q2992536,Q13474305
http://www.wikidata.org/entity/Q1434602,Libyan–Egyptian War,http://www.wikidata.org/entity/Q79,Egypt,Q1434602,Q79
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,http://www.wikidata.org/entity/Q4366828,Frontier Constabulary,Q179275,Q4366828
http://www.wikidata.org/entity/Q6067814,Iraq War troop surge of 2007,http://www.wikidata.org/entity/Q30,United States of America,Q6067814,Q30
http://www.wikidata.org/entity/Q1434602,Libyan–Egyptian War,http://www.wikidata.org/entity/Q1016,Libya,Q1434602,Q1016
http://www.wikidata.org/entity/Q832273,Eritrean–Ethiopian War,http://www.wikidata.org/entity/Q986,Eritrea,Q832273,Q986
http://www.wikidata.org/entity/Q28444896,ECOWAS military intervention in the Gambia,,,Q28444896,
http://www.wikidata.org/entity/Q832273,Eritrean–Ethiopian War,http://www.wikidata.org/entity/Q115,Ethiopia,Q832273,Q115
http://www.wikidata.org/entity/Q838695,First Congo War,http://www.wikidata.org/entity/Q916,Angola,Q838695,Q916
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q34490,Al-Qaeda,Q182865,Q34490
http://www.wikidata.org/entity/Q1143379,1991–1992 South Ossetia War,http://www.wikidata.org/entity/Q2586527,National Guard of Georgia,Q1143379,Q2586527
http://www.wikidata.org/entity/Q838695,First Congo War,http://www.wikidata.org/entity/Q1036,Uganda,Q838695,Q1036
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006-2009),http://www.wikidata.org/entity/Q115,Ethiopia,Q1072042,Q115
http://www.wikidata.org/entity/Q1064335,Pig War,http://www.wikidata.org/entity/Q145,United Kingdom,Q1064335,Q145
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,http://www.wikidata.org/entity/Q2746169,Lashkar-e-Jhangvi,Q179275,Q2746169
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,http://www.wikidata.org/entity/Q2821724,Abu Bakr al-Baghdadi,Q179275,Q2821724
http://www.wikidata.org/entity/Q838695,First Congo War,http://www.wikidata.org/entity/Q1037,Rwanda,Q838695,Q1037
http://www.wikidata.org/entity/Q1069736,Croat–Bosniak War,http://www.wikidata.org/entity/Q224,Croatia,Q1069736,Q224
http://www.wikidata.org/entity/Q4116897,Second Kurdish–Iraqi War,http://www.wikidata.org/entity/Q781221,Kurdistan Democratic Party,Q4116897,Q781221
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006-2009),http://www.wikidata.org/entity/Q9603,Sufism,Q1072042,Q9603
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,http://www.wikidata.org/entity/Q1806585,Lashkar-e-Islam,Q179275,Q1806585
http://www.wikidata.org/entity/Q1064335,Pig War,http://www.wikidata.org/entity/Q30,United States of America,Q1064335,Q30
http://www.wikidata.org/entity/Q838695,First Congo War,http://www.wikidata.org/entity/Q967,Burundi,Q838695,Q967
http://www.wikidata.org/entity/Q185729,War on Terror,http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Q185729,Q2429253
http://www.wikidata.org/entity/Q181533,Bosnian War,http://www.wikidata.org/entity/Q192262,Autonomous Province of Western Bosnia,Q181533,Q192262
http://www.wikidata.org/entity/Q181533,Bosnian War,http://www.wikidata.org/entity/Q334731,Croatian Republic of Herzeg-Bosnia,Q181533,Q334731
http://www.wikidata.org/entity/Q21647838,German intervention against ISIL,http://www.wikidata.org/entity/Q56010,Bundeswehr,Q21647838,Q56010
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,http://www.wikidata.org/entity/Q18711585,Jamaat-ul-Ahrar,Q179275,Q18711585
http://www.wikidata.org/entity/Q838695,First Congo War,http://www.wikidata.org/entity/Q28699,National Union for the Total Independence of Angola,Q838695,Q28699
http://www.wikidata.org/entity/Q1262084,Djiboutian Civil War,http://www.wikidata.org/entity/Q1470091,Front for the Restoration of Unity and Democracy,Q1262084,Q1470091
http://www.wikidata.org/entity/Q2992536,Basque conflict,http://www.wikidata.org/entity/Q29,Spain,Q2992536,Q29
