event,eventLabel,eventDescription,startDate,endDate,location,casualties,prevWar,nextWar,largerConflict
http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,1947-01-01T00:00:00Z,1991-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15,,,,
http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,1947-01-01T00:00:00Z,1991-01-01T00:00:00Z,http://www.wikidata.org/entity/Q46,,,,
http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,1947-01-01T00:00:00Z,1991-01-01T00:00:00Z,http://www.wikidata.org/entity/Q48,,,,
http://www.wikidata.org/entity/Q2992536,Basque conflict,armed and political conflict in Spain,1959-07-31T00:00:00Z,2011-10-20T00:00:00Z,,,,,http://www.wikidata.org/entity/Q7781
http://www.wikidata.org/entity/Q2652686,Kachin conflict,armed conflict in Myanmar,1961-02-05T00:00:00Z,,http://www.wikidata.org/entity/Q140646,,,,http://www.wikidata.org/entity/Q852088
http://www.wikidata.org/entity/Q2652686,Kachin conflict,armed conflict in Myanmar,1961-02-05T00:00:00Z,,http://www.wikidata.org/entity/Q456847,,,,http://www.wikidata.org/entity/Q852088
http://www.wikidata.org/entity/Q1783607,Salvadoran Civil War,13 year 1979-1992 civil war in El Salvador,1979-10-15T00:00:00Z,1992-01-16T00:00:00Z,http://www.wikidata.org/entity/Q792,,,,http://www.wikidata.org/entity/Q3002766
http://www.wikidata.org/entity/Q28444896,ECOWAS military intervention in the Gambia,military intervention in the Gambia by several West African countries,2017-01-19T00:00:00Z,2017-01-20T00:00:00Z,http://www.wikidata.org/entity/Q1005,,,,http://www.wikidata.org/entity/Q28398113
http://www.wikidata.org/entity/Q303801,Lord's Resistance Army insurgency,ongoing insurgency in central africa,1987-01-01T00:00:00Z,,,,,,
http://www.wikidata.org/entity/Q223085,Football War,1969 War between Honduras and El Salvador,1969-07-14T00:00:00Z,1969-07-18T00:00:00Z,http://www.wikidata.org/entity/Q750,,,,
http://www.wikidata.org/entity/Q18159629,American-led intervention in Iraq (2014–present),,2014-06-15T00:00:00Z,,http://www.wikidata.org/entity/Q796,,,,http://www.wikidata.org/entity/Q17507684
http://www.wikidata.org/entity/Q1434602,Libyan–Egyptian War,war,1977-07-21T00:00:00Z,1977-07-24T00:00:00Z,,,,,http://www.wikidata.org/entity/Q4783165
http://www.wikidata.org/entity/Q1891008,Sand War,,1963-09-25T00:00:00Z,1964-02-20T00:00:00Z,http://www.wikidata.org/entity/Q231151,,,,http://www.wikidata.org/entity/Q4783165
http://www.wikidata.org/entity/Q2337340,Cenepa piun piun,,1995-01-26T00:00:00Z,1995-02-28T00:00:00Z,http://www.wikidata.org/entity/Q1288434,,,,http://www.wikidata.org/entity/Q2363837
http://www.wikidata.org/entity/Q2337340,Cenepa piun piun,,1995-01-26T00:00:00Z,1995-02-28T00:00:00Z,http://www.wikidata.org/entity/Q1993836,,,,http://www.wikidata.org/entity/Q2363837
http://www.wikidata.org/entity/Q3119132,Indo-Pakistani wars and conflicts,wars between India and Pakistan,1947-10-22T00:00:00Z,,,,,,
