warID,warName,startDate,endDate,warDescription,prevWarID,nextWarID
Q321780,Georgian–Abkhazian conflict,1989-01-01T00:00:00Z,1993-01-01T00:00:00Z,Georgian–Abkhazian conflict,,
Q318250,Ethio-Somali War,1977-07-13T00:00:00Z,1978-03-15T00:00:00Z,1977-78 Somali military offensive over the disputed Ogaden region of Ethiopia,,
Q16911838,Libyan civil war (2014–present),2014-05-16T00:00:00Z,,conflict among rival groups seeking to control of the territory of Libya,,
Q838695,First Congo War,1996-10-24T00:00:00Z,1997-05-16T00:00:00Z,war,,
Q1064335,Pig War,1961-04-19T00:00:00Z,1961-04-19T00:00:00Z,confrontation in 1859 between the United States and the British Empire,,
Q1069736,Croat–Bosniak War,1992-06-19T00:00:00Z,1994-02-23T00:00:00Z,war,,
Q1922071,Indo-Pakistani War of 1971,1971-12-03T00:00:00Z,1971-12-16T00:00:00Z,military confrontation between India and Pakistan alongside the Bangladesh Liberation War. India attacked first,,
Q1760930,Paquisha War,1981-01-28T00:00:00Z,1981-02-05T00:00:00Z,1981 war between Ecuador and Peru,,
Q23403028,Hīt offensive,2016-03-12T00:00:00Z,2016-04-14T00:00:00Z,ongoing offensive in the town of Hīt,,
Q1891008,Sand War,1963-09-25T00:00:00Z,1964-02-20T00:00:00Z,,,
Q2992536,Basque conflict,1959-07-31T00:00:00Z,2011-10-20T00:00:00Z,armed and political conflict in Spain,,
Q443226,Contra insurgency,1981-01-01T00:00:00Z,1990-01-01T00:00:00Z,,,
Q609836,Portuguese Colonial War,1961-01-01T00:00:00Z,1974-01-01T00:00:00Z,1961–1974 armed conflicts in Africa between Portugal and independence movements,,
Q11050383,Eelam War II,1990-06-10T00:00:00Z,1995-01-09T00:00:00Z,second phase of the Sri Lankan civil war from 1990-1995,,
Q1209169,War in Abkhazia,1992-08-14T00:00:00Z,1993-09-27T00:00:00Z,War in Abkhazia from 1992 to 1993,,
Q11942758,Ethiopian-Somali border conflict,1960-01-01T00:00:00Z,1964-01-01T00:00:00Z,,,
Q1413732,Kashmir conflict,1947-10-22T00:00:00Z,,"conflict over the Kashmir region between India, Pakistan and China",,
Q1814745,Eelam War I,1983-07-23T00:00:00Z,1987-07-29T00:00:00Z,first phase of the Sri Lankan civil war from 1983-1987,,
Q2904516,War over Water,1964-11-01T00:00:00Z,1967-05-01T00:00:00Z,1964-1967 military confrontations between Israel and Syria and Lebanon,,
Q18920712,War in Afghanistan (2015–),2015-01-01T00:00:00Z,,period of the war starting 1 January 2015,Q182865,
Q2652686,Kachin conflict,1961-02-05T00:00:00Z,,armed conflict in Myanmar,,
Q1271059,Shifta War,1963-01-01T00:00:00Z,1967-01-01T00:00:00Z,,,
Q632787,Insurgency in the Maghreb (2002–),2002-04-11T00:00:00Z,,Islamist militant and terrorist activity in the Maghreb and Sahel regions,,
Q11154636,Eelam War III,1995-04-19T00:00:00Z,2002-02-22T00:00:00Z,third phase of the Sri Lankan civil war from 1995-2002,,
Q2337340,Cenepa piun piun,1995-01-26T00:00:00Z,1995-02-28T00:00:00Z,,,
Q635533,Cambodian–Vietnamese War,1977-04-30T00:00:00Z,1991-10-23T00:00:00Z,1977-1991 interstate war,,
Q652284,1982 Ethiopian–Somali Border War,1982-06-01T00:00:00Z,1982-08-01T00:00:00Z,war,,
Q1354920,Djiboutian–Eritrean border conflict,2008-06-10T00:00:00Z,2008-06-13T00:00:00Z,2008 armed conflict in East Africa,,
Q3196886,2009 Eastern Congo offensive,2009-01-20T00:00:00Z,2009-02-27T00:00:00Z,,,
Q3429692,55 Day War,1993-01-09T00:00:00Z,1993-03-06T00:00:00Z,,,
Q1519107,War in Afghanistan,1978-04-27T00:00:00Z,,Ongoing conflicts in Afghanistan since 1978,,
Q1262084,Djiboutian Civil War,1991-10-01T00:00:00Z,1994-12-01T00:00:00Z,war,,
Q832273,Eritrean–Ethiopian War,1998-05-06T00:00:00Z,2000-05-25T00:00:00Z,war between Ethiopia and Eritrea at the end of the 20th century,,
Q643925,Invasion of Dagestan,1999-08-02T00:00:00Z,1999-09-14T00:00:00Z,Part of Russian-Chechen conflict,,
Q1361929,Indonesia–Malaysia confrontation,1963-01-20T00:00:00Z,1966-08-11T00:00:00Z,military conflict (1963–1966),,
Q190029,Kosovo War,1998-02-27T00:00:00Z,1999-06-11T00:00:00Z,late 1990s armed conflict in Kosovo,,
Q1783607,Salvadoran Civil War,1979-10-15T00:00:00Z,1992-01-16T00:00:00Z,13 year 1979-1992 civil war in El Salvador,,
Q233583,Indo-Pakistani War of 1965.,1965-08-01T00:00:00Z,1965-09-23T00:00:00Z,Culmination of skirmishes between India and Pakistan in 1965.,,
Q371394,Bangladesh Liberation War,1971-03-26T00:00:00Z,1971-12-16T00:00:00Z,conflict that led to the independence of the majority-Bengali country,,
Q644589,Toyota War,1986-12-16T00:00:00Z,1987-09-11T00:00:00Z,last phase of the Chadian–Libyan conflict. It takes its name from the Toyota pickup trucks used,,
Q652285,Indo-Pakistani War of 1947,1947-10-22T00:00:00Z,1949-01-01T00:00:00Z,1947-1948 war between India and Pakistan,,
Q16151540,Eelam War IV,2006-07-26T00:00:00Z,2009-05-18T00:00:00Z,the fourth and final phase of the Sri Lankan civil war,,
Q285280,War of Pridnestrovie,1992-03-02T00:00:00Z,1992-07-21T00:00:00Z,early 1990's armed conflict,,
Q4116897,Second Kurdish–Iraqi War,1974-01-01T00:00:00Z,1975-01-01T00:00:00Z,1974–1975 Kurdish rebellion in northern Iraq,,
Q545449,Iraq War,2003-03-20T00:00:00Z,2011-12-15T00:00:00Z,war which started on 20 March 2003,,
Q190758,Darfur conflict,2003-02-26T00:00:00Z,,major armed conflict in the Darfur region of Sudan that began in February 2003,,
Q1640107,Ifni War,1957-10-23T00:00:00Z,1958-06-30T00:00:00Z,,,
Q611071,Chadian–Libyan conflict,1978-01-01T00:00:00Z,1987-01-01T00:00:00Z,,,
Q202465,Uganda–Tanzania War,1978-01-01T00:00:00Z,1979-01-01T00:00:00Z,1978-79 war,,
Q16118002,Palestinian separation,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z,,,
Q2342102,Indochina Wars,1946-01-01T00:00:00Z,1989-01-01T00:00:00Z,series of wars fought in Southeast Asia from 1946 until 1989,,
Q404517,Kargil War,1999-05-01T00:00:00Z,1999-07-01T00:00:00Z,war,,
Q28444896,ECOWAS military intervention in the Gambia,2017-01-19T00:00:00Z,2017-01-20T00:00:00Z,military intervention in the Gambia by several West African countries,,
